7.045000000000000000e+03,6.079000000000000000e+03,6.159000000000000000e+03,6.013000000000000000e+03,6.214000000000000000e+03,6.032000000000000000e+03,6.006000000000000000e+03,5.938000000000000000e+03,6.097000000000000000e+03,6.045000000000000000e+03
6.014000000000000000e+03,6.973000000000000000e+03,6.013000000000000000e+03,5.972000000000000000e+03,6.097000000000000000e+03,5.977000000000000000e+03,5.997000000000000000e+03,5.961000000000000000e+03,5.991000000000000000e+03,5.947000000000000000e+03
6.006000000000000000e+03,5.998000000000000000e+03,6.848000000000000000e+03,5.939000000000000000e+03,6.074000000000000000e+03,5.987000000000000000e+03,5.926000000000000000e+03,5.853000000000000000e+03,6.013000000000000000e+03,5.964000000000000000e+03
6.148000000000000000e+03,6.170000000000000000e+03,6.142000000000000000e+03,7.110000000000000000e+03,6.229000000000000000e+03,6.172000000000000000e+03,6.077000000000000000e+03,6.050000000000000000e+03,6.101000000000000000e+03,6.145000000000000000e+03
6.118000000000000000e+03,6.039000000000000000e+03,6.056000000000000000e+03,6.017000000000000000e+03,7.023000000000000000e+03,5.978000000000000000e+03,5.947000000000000000e+03,5.826000000000000000e+03,6.026000000000000000e+03,5.997000000000000000e+03
6.127000000000000000e+03,6.154000000000000000e+03,6.190000000000000000e+03,6.132000000000000000e+03,6.149000000000000000e+03,7.013000000000000000e+03,6.118000000000000000e+03,6.044000000000000000e+03,6.140000000000000000e+03,6.118000000000000000e+03
5.907000000000000000e+03,5.935000000000000000e+03,5.924000000000000000e+03,5.892000000000000000e+03,5.971000000000000000e+03,5.901000000000000000e+03,6.767000000000000000e+03,5.894000000000000000e+03,5.928000000000000000e+03,5.957000000000000000e+03
5.979000000000000000e+03,6.047000000000000000e+03,6.006000000000000000e+03,6.029000000000000000e+03,6.044000000000000000e+03,6.043000000000000000e+03,6.043000000000000000e+03,6.859000000000000000e+03,6.036000000000000000e+03,5.974000000000000000e+03
6.103000000000000000e+03,6.091000000000000000e+03,6.132000000000000000e+03,6.064000000000000000e+03,6.160000000000000000e+03,6.067000000000000000e+03,6.059000000000000000e+03,6.022000000000000000e+03,7.000000000000000000e+03,6.079000000000000000e+03
5.975000000000000000e+03,5.935000000000000000e+03,5.998000000000000000e+03,5.944000000000000000e+03,6.034000000000000000e+03,5.926000000000000000e+03,6.031000000000000000e+03,5.874000000000000000e+03,5.979000000000000000e+03,6.992000000000000000e+03
6.041889160156250000e+03,6.049777832031250000e+03,6.068889160156250000e+03,6.000222167968750000e+03,6.108000000000000000e+03,6.009222167968750000e+03,6.022666503906250000e+03,5.940222167968750000e+03,6.034555664062500000e+03,6.025111328125000000e+03
7.938716125488281250e+01,7.959729003906250000e+01,8.523098754882812500e+01,6.841341400146484375e+01,8.156797027587890625e+01,7.647770690917968750e+01,5.759051132202148438e+01,7.966705322265625000e+01,6.351746749877929688e+01,7.006258392333984375e+01
